  CURRENCY DATE = 06/19/16
                                     LATITUDE    LONGITUDE     OBSTACLE       AGL  AMSL LT ACC MAR FAA       ACTION
ORS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE           HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------
15-020005 U US HI KA'ALUALU        18 57 52.86N 155 41 24.30W WINDMILL     1 00329 00954 W 4 D W 2006AWP04135OE C 2014124 
15-020004 U US HI KA'ALUALU        18 57 56.22N 155 41 24.30W WINDMILL     1 00329 00969 N 4 D W 2006AWP04136OE C 2014124 
15-020003 U US HI KA'ALUALU        18 58 00.54N 155 41 24.30W WINDMILL     1 00329 00993 W 4 D W 2006AWP04137OE C 2014124 
15-020002 U US HI KA'ALUALU        18 58 04.80N 155 41 24.36W WINDMILL     1 00329 01005 N 4 D W 2006AWP04138OE C 2014124 
15-020001 U US HI KA'ALUALU        18 58 07.86N 155 41 24.36W WINDMILL     1 00329 01022 W 4 D W 2006AWP04139OE C 2014124 
15-020010 U US HI KA'ALUALU        18 58 11.16N 155 41 23.94W WINDMILL     1 00329 01039 N 4 D W 2006AWP04140OE C 2014124 
15-020009 U US HI KA'ALUALU        18 58 15.30N 155 41 23.52W WINDMILL     1 00329 01061 W 4 D W 2006AWP04141OE C 2014124 
15-020006 O US HI KA'ALUALU        18 58 16.29N 155 41 17.54W TOWER        1 00223 00987 R 5 E P 2008AWP00071OE C 2012277 
15-020015 U US HI KA'ALUALU        18 58 19.20N 155 41 22.44W WINDMILL     1 00329 01081 N 4 D W 2006AWP04142OE C 2014124 
15-020014 U US HI KA'ALUALU        18 58 22.20N 155 41 22.44W WINDMILL     1 00329 01095 W 4 D W 2006AWP04143OE C 2014124 
15-020013 U US HI KA'ALUALU        18 58 25.14N 155 41 22.44W WINDMILL     1 00329 01110 N 4 D W 2006AWP04144OE C 2014124 
15-020012 U US HI KA'ALUALU        18 58 29.10N 155 41 21.42W WINDMILL     1 00329 01128 W 4 D W 2006AWP04145OE C 2014124 
15-020011 U US HI KA'ALUALU        18 58 33.00N 155 41 20.40W WINDMILL     1 00329 01141 N 4 D W 2006AWP04146OE C 2014124 
15-020017 U US HI KA'ALUALU        18 58 36.96N 155 41 19.38W WINDMILL     1 00329 01155 W 4 D W 2006AWP04147OE C 2014124 
15-020016 U US HI KA'ALUALU        18 58 40.86N 155 41 18.30W WINDMILL     1 00329 01164 W 4 D W 2006AWP04148OE C 2014124 
15-000352 O US HI NAALEHU          19 01 28.00N 155 40 02.00W TOWER        4 00260 01625 R 5 E M                A 1999102 
15-000356 O US HI NAALEHU          19 02 39.63N 155 34 48.86W TOWER        1 00212 00835 D 5 E N 2006AWP05217OE C 2006281 
15-020531 U US HI NAALEHU          19 03 31.00N 155 41 16.80W TOWER        1 00100 02178 N 4 D N 2010AWP01226OE A 2016154 
15-000339 O US HI NAALEPU          19 05 42.00N 155 34 08.00W TOWER        1 00102 01472 N 5 E N 1994AWP01248OE C 1996183 
15-020072 O US HI NAALEHU          19 05 51.20N 155 33 59.10W TOWER        1 00125 01440 N 4 D N 2011AWP04340OE C 2011341 
15-020149 O US HI VOLCANO          19 25 44.11N 155 13 58.00W TOWER        1 00165 03895 N 5 E N 2013AWP03589OE A 2013204 
15-000325 O US HI PAHOA            19 28 59.00N 154 52 56.00W TOWER        1 00190 00870 D 5 E N 1991AWP00289OE C 1992230 
15-020495 O US HI PAHOA            19 29 40.90N 154 54 56.60W TOWER        1 00150 00715 N 1 A N 2010AWP07544OE A 2015056 
15-000340 O US HI MOUNTAIN VIEW    19 30 01.41N 155 10 20.16W TOWER        1 00314 02939 R 1 A P 2013AWP05699OE C 2013329 
15-000032 O US HI KAALAKEKUA       19 31 02.20N 155 54 53.91W TOWER        1 00323 02083 R 1 C P 2013AWP03856OE C 2013255 
15-000390 O US HI HILO             19 31 14.40N 155 17 57.00W TOWER        1 00271 05779 D 5 E N 2012AWP03299OE C 2012139 
15-000040 O US HI KULANI           19 33 16.00N 155 14 23.00W TOWER        1 00132 03932 U 9 I U                C 1974028 
15-020045 O US HI KEAAU            19 34 38.40N 154 57 21.30W TOWER        1 00150 00252 N 1 A N 2010AWP05116OE A 2010356 
15-020146 O US HI MOUNTAIN VIEW    19 35 20.59N 155 07 26.17W TOWER        1 00200 01822 N 2 C N 2013AWP02001OE A 2013130 
15-000333 O US HI KEAAU            19 37 52.00N 155 01 53.00W STACK        1 00250 00470 S 5 E M 1991AWP00224OE C 1995296 
15-000362 U US HI KEAAU            19 38 08.00N 155 02 47.00W TOWER        1 00189 00513 U 4 D U 2001AWP01157OE C 2014124 
15-020469 O US HI KAILUA-KONA      19 38 11.82N 155 59 17.30W TOWER        1 00056 00143 N 5 E N 2010AWP06378OE A 2014071 
15-020497 O US HI HILO             19 40 58.70N 155 04 56.86W TOWER        1 00065 00408 R 1 A N 2015AWP02720OE C 2015153 
